condition,tag,family,support,n_answered,tp,fp,fn,tn,precision,precision_lo,precision_hi,precision_lo_clust,precision_hi_clust,recall,recall_lo,recall_hi,recall_lo_clust,recall_hi_clust,f1,f1_lo_clust,f1_hi_clust,boot_degenerate,baseline_f1,accuracy,baseline_accuracy
cot,on_stop_line,map_context,166,627,39,35,127,426,0.527,0.4148,0.6366,0.3393,0.7143,0.2349,0.1769,0.305,0.1384,0.3438,0.325,0.2022,0.439,False,0.0,0.7416,0.7357
cot,ped_crossing_ahead,map_context,339,627,109,24,229,265,0.8195,0.7455,0.8756,0.6875,0.9192,0.3225,0.2749,0.3741,0.2287,0.4109,0.4628,0.3482,0.5566,False,0.7011,0.5965,0.5398
cot,stop_line_ahead,map_context,471,627,84,3,387,153,0.9655,0.9035,0.9882,0.9143,1.0,0.1783,0.1464,0.2155,0.1225,0.2414,0.3011,0.2165,0.3875,False,0.8571,0.378,0.75
cot,intersection_ahead,map_context,541,627,123,5,417,82,0.9609,0.9118,0.9832,0.9008,1.0,0.2278,0.1944,0.265,0.1694,0.2925,0.3683,0.2875,0.4496,False,0.9256,0.327,0.8615
cot,traffic_light_ahead,map_context,144,627,116,78,27,406,0.5979,0.5277,0.6644,0.4417,0.7337,0.8112,0.7392,0.8669,0.6857,0.9162,0.6884,0.558,0.7866,False,0.0,0.8325,0.7707
cot,has_pedestrian,visible_objects,378,627,216,3,161,247,0.9863,0.9605,0.9953,0.9693,1.0,0.5729,0.5225,0.6219,0.4681,0.6594,0.7248,0.636,0.791,False,0.7515,0.7384,0.6019
cot,has_vehicle,visible_objects,584,627,534,4,49,40,0.9926,0.981,0.9971,0.9844,0.9983,0.916,0.8906,0.9358,0.8768,0.9491,0.9527,0.9309,0.9714,False,0.9637,0.9155,0.9299
cot,parked_vehicle,visible_objects,362,626,203,56,158,209,0.7838,0.7297,0.8296,0.6947,0.8641,0.5623,0.5108,0.6126,0.4742,0.6506,0.6548,0.5786,0.7255,False,0.7313,0.6581,0.5764
cot,moving_vehicle,visible_objects,443,627,391,54,51,131,0.8787,0.845,0.9058,0.8296,0.9186,0.8846,0.8515,0.9111,0.839,0.9231,0.8816,0.8459,0.9128,False,0.8273,0.8325,0.7054
cot,stopped_vehicle,visible_objects,257,627,147,167,109,204,0.4682,0.4137,0.5234,0.3524,0.5821,0.5742,0.513,0.6333,0.4898,0.6543,0.5158,0.4208,0.5962,False,0.0,0.5598,0.5908
cot,large_vehicle,visible_objects,406,627,207,16,198,206,0.9283,0.8866,0.9554,0.8769,0.9665,0.5111,0.4626,0.5595,0.4271,0.5903,0.6592,0.5819,0.7283,False,0.7853,0.6587,0.6465
cot,cyclist,visible_objects,109,627,35,12,74,506,0.7447,0.6049,0.8475,0.4839,0.9118,0.3211,0.2408,0.4136,0.1647,0.5155,0.4487,0.2522,0.6337,False,0.0,0.8628,0.8264
cot,parked_bicycle,visible_objects,68,627,15,2,52,558,0.8824,0.6566,0.9671,0.5,1.0,0.2239,0.1406,0.3371,0.0566,0.3737,0.3571,0.1034,0.5361,False,0.0,0.9139,0.8917
cot,construction_object,visible_objects,203,627,150,41,53,383,0.7853,0.7218,0.8376,0.6702,0.8683,0.7389,0.6745,0.7945,0.61,0.8376,0.7614,0.6564,0.8389,False,0.0,0.8501,0.6768
cot,traffic_cone,visible_objects,135,627,88,34,47,458,0.7213,0.6359,0.7932,0.5769,0.8312,0.6519,0.5683,0.727,0.4867,0.8036,0.6848,0.5484,0.7857,False,0.0,0.8708,0.785
cot,barrier,visible_objects,121,627,86,27,35,479,0.7611,0.6747,0.8303,0.597,0.8634,0.7107,0.6245,0.7841,0.5513,0.8312,0.735,0.5871,0.8295,False,0.0,0.9011,0.8073
cot,pedestrian_near,visible_objects,150,627,114,61,36,416,0.6514,0.5783,0.7181,0.5109,0.7692,0.76,0.6857,0.8213,0.6357,0.8555,0.7015,0.5809,0.7977,False,0.0,0.8453,0.7611
cot,vehicle_near,visible_objects,283,627,270,226,12,119,0.5444,0.5004,0.5877,0.4646,0.6207,0.9574,0.9271,0.9755,0.9233,0.9849,0.6941,0.6239,0.7551,False,0.0,0.6204,0.5494
cot,lead_vehicle,interaction,314,627,188,82,125,232,0.6963,0.639,0.7481,0.6036,0.7778,0.6006,0.5455,0.6534,0.5129,0.6915,0.6449,0.5654,0.7161,False,0.6667,0.6699,0.5
